Sector_score,Score_A,Score_MV,PROB,Prob,Inherent_Risk,CONTROL_RISK,Audit_Risk,Risk
3.89,0.6,0.2,0.2,0.2,8.574,0.4,1.7148,1
3.89,0.2,0.2,0.2,0.2,2.554,0.4,0.5108,0
3.89,0.2,0.2,0.2,0.2,1.548,0.4,0.3096,0
3.89,0.2,0.6,0.2,0.2,17.53,0.4,3.506,1
3.89,0.2,0.2,0.2,0.2,1.416,0.4,0.2832,0
3.89,0.2,0.2,0.2,0.2,2.156,0.4,0.4312,0
3.89,0.4,0.6,0.2,0.2,31.774,0.4,6.3548,1
3.89,0.6,0.4,0.2,0.2,18.034,0.4,3.6068,1
3.89,0.6,0.4,0.2,0.2,17.206,0.4,3.4412,1
3.89,0.6,0.2,0.2,0.2,4.372,0.4,0.8744,0
3.89,0.6,0.2,0.2,0.2,12.004,0.4,2.4008,1
3.89,0.6,0.2,0.4,0.4,35.704,1.2,21.4224,1
3.89,0.6,0.6,0.2,0.4,14.392,0.8,5.7568,1
3.89,0.4,0.2,0.2,0.2,1.906,0.4,0.3812,0
3.89,0.2,0.2,0.2,0.2,1.5694,0.4,0.31388,0
3.89,0.4,0.4,0.2,0.2,9.384,0.4,1.8768,1
3.89,0.6,0.6,0.2,0.4,50.67,0.8,20.268,1
3.89,0.6,0.6,0.2,0.2,14.492,0.4,2.8984,1
3.89,0.4,0.2,0.2,0.2,2.33,0.4,0.466,0
3.89,0.6,0.6,0.2,0.2,71.492,0.4,14.2984,1
3.89,0.6,0.6,0.2,0.4,34.56,0.8,13.824,1
3.89,0.2,0.2,0.2,0.2,3.782,0.4,0.7564,0
3.89,0.6,0.6,0.2,0.4,141.774,0.8,56.7096,1
3.89,0.2,0.2,0.2,0.2,1.61,0.4,0.322,0
3.89,0.6,0.6,0.2,0.2,46.316,0.4,9.2632,1
3.89,0.6,0.2,0.2,0.2,6.55,0.4,1.31,1
3.89,0.2,0.2,0.2,0.2,1.6214,0.4,0.32428,0
3.89,0.6,0.2,0.2,0.2,24.858,0.4,4.9716,1
3.89,0.2,0.2,0.2,0.2,1.606,0.4,0.3212,0
3.89,0.2,0.4,0.2,0.2,4.262,0.4,0.8524,0
3.89,0.6,0.2,0.2,0.2,13.05,0.4,2.61,1
3.89,0.2,0.6,0.2,0.2,92.856,0.4,18.5712,1
3.89,0.2,0.2,0.2,0.2,1.968,0.4,0.3936,0
3.89,0.2,0.2,0.2,0.2,2.562,0.4,0.5124,0
3.89,0.2,0.2,0.2,0.2,1.486,0.4,0.2972,0
3.89,0.2,0.2,0.2,0.2,1.768,0.4,0.3536,0
3.89,0.6,0.4,0.2,0.2,22.566,0.4,4.5132,1
3.89,0.2,0.2,0.2,0.2,1.41,0.4,0.282,0
3.89,0.6,0.6,0.2,0.2,46.718,0.4,9.3436,1
3.89,0.6,0.6,0.2,0.2,577.508,0.4,115.5016,1
3.89,0.2,0.6,0.2,0.2,19.92,0.4,3.984,1
3.89,0.2,0.2,0.2,0.2,1.95,0.4,0.39,0
3.89,0.2,0.2,0.2,0.2,2.378,0.4,0.4756,0
3.89,0.2,0.2,0.2,0.2,1.4,0.4,0.28,0
3.89,0.4,0.2,0.2,0.2,1.94,0.4,0.388,0
3.89,0.2,0.2,0.2,0.2,2.092,0.4,0.4184,0
3.89,0.2,0.6,0.2,0.2,86.306,0.4,17.2612,1
3.89,0.2,0.2,0.2,0.2,1.604,0.4,0.3208,0
3.89,0.2,0.6,0.2,0.6,27.5,1.6,22.0,1
3.89,0.6,0.6,0.2,0.2,99.946,0.4,19.9892,1
3.89,0.4,0.6,0.6,0.2,10.782,1.2,6.4692,1
3.89,0.2,0.2,0.2,0.2,12.688,0.4,2.5376,1
3.89,0.2,0.4,0.2,0.2,4.698,0.4,0.9396,0
3.89,0.2,0.2,0.2,0.2,2.224,0.4,0.4448,0
3.89,0.6,0.4,0.2,0.2,12.12,0.4,2.424,1
3.89,0.2,0.2,0.2,0.2,1.642,0.4,0.3284,0
3.89,0.2,0.6,0.2,0.2,32.86,0.4,6.572,1
3.89,0.6,0.4,0.2,0.2,19.886,0.4,3.9772,1
3.89,0.6,0.2,0.2,0.6,19.604,1.6,15.6832,1
3.89,0.2,0.2,0.2,0.2,1.75,0.4,0.35,0
3.89,0.2,0.2,0.2,0.2,1.552,0.4,0.3104,0
3.89,0.4,0.2,0.2,0.2,1.914,0.4,0.3828,0
3.89,0.2,0.2,0.2,0.2,1.418,0.4,0.2836,0
3.89,0.2,0.6,0.2,0.2,11.05,0.4,2.21,1
3.89,0.6,0.2,0.2,0.4,12.59,0.8,5.036,1
3.89,0.6,0.6,0.2,0.4,139.88,0.8,55.952,1
3.89,0.2,0.2,0.2,0.2,1.414,0.4,0.2828,0
3.89,0.6,0.2,0.2,0.2,10.202,0.4,2.0404,1
3.89,0.4,0.2,0.2,0.2,1.828,0.4,0.3656,0
3.89,0.2,0.2,0.2,0.2,1.578,0.4,0.3156,0
3.89,0.2,0.6,0.2,0.2,36.8,0.4,7.36,1
3.89,0.6,0.6,0.2,0.6,61.652,2.2,67.8172,1
3.89,0.6,0.6,0.2,0.2,13.582,0.4,2.7164,1
3.89,0.6,0.4,0.2,0.2,54.514,0.4,10.9028,1
3.89,0.2,0.2,0.2,0.2,1.862,0.4,0.3724,0
3.89,0.6,0.6,0.2,0.2,16.29,0.4,3.258,1
3.89,0.2,0.6,0.2,0.4,48.438,0.8,19.3752,1
3.89,0.4,0.6,0.2,0.2,20.808,0.4,4.1616,1
3.89,0.2,0.6,0.2,0.2,63.984,0.4,12.7968,1
3.89,0.2,0.2,0.2,0.2,4.496,0.4,0.8992,0
3.89,0.2,0.2,0.2,0.6,7.544,5.8,21.8776,1
3.89,0.6,0.6,0.2,0.2,583.688,0.4,116.7376,1
3.89,0.2,0.2,0.2,0.2,1.748,0.4,0.3496,0
3.89,0.2,0.2,0.2,0.2,1.516,0.4,0.3032,0
3.89,0.6,0.2,0.4,0.6,52.012,2.0,52.012,1
3.89,0.2,0.2,0.2,0.2,1.582,0.4,0.3164,0
3.89,0.2,0.6,0.2,0.2,25.172,0.8,10.0688,1
3.89,0.6,0.4,0.2,0.2,49.076,0.8,19.6304,1
3.89,0.6,0.6,0.2,0.2,18.766,0.8,7.5064,1
3.89,0.6,0.6,0.2,0.2,16.32,0.8,6.528,1
3.89,0.4,0.2,0.2,0.2,2.3,0.8,0.92,0
3.89,0.2,0.2,0.2,0.2,1.97,0.8,0.788,0
3.89,0.6,0.6,0.2,0.2,55.47,1.2,33.282,1
3.89,0.6,0.2,0.2,0.4,31.828,1.6,25.4624,1
3.89,0.2,0.2,0.2,0.2,2.228,1.2,1.3368,1
3.89,0.4,0.2,0.2,0.2,10.87,1.2,6.522,1
3.89,0.2,0.4,0.2,0.2,4.976,1.2,2.9856,1
3.89,0.2,0.2,0.2,0.2,2.684,1.2,1.6104,1
3.89,0.6,0.6,0.2,0.2,28.552,1.2,17.1312,1
3.89,0.4,0.2,0.2,0.2,2.772,1.2,1.6632,1
3.89,0.2,0.2,0.2,0.2,2.42,1.2,1.452,1
3.89,0.6,0.4,0.2,0.4,7.264,0.8,2.9056,1
3.89,0.2,0.2,0.2,0.2,1.776,0.4,0.3552,0
3.89,0.2,0.6,0.2,0.2,52.758,0.4,10.5516,1
3.89,0.6,0.6,0.2,0.2,18.534,0.4,3.7068,1
3.89,0.6,0.6,0.2,0.4,40.848,0.8,16.3392,1
3.89,0.6,0.6,0.2,0.2,73.736,0.4,14.7472,1
3.89,0.4,0.2,0.2,0.2,1.872,0.4,0.3744,0
3.89,0.2,0.2,0.2,0.2,1.412,0.4,0.2824,0
3.89,0.6,0.2,0.2,0.2,3.488,0.4,0.6976,0
3.89,0.2,0.2,0.2,0.2,1.574,0.4,0.3148,0
3.89,0.6,0.6,0.2,0.4,54.384,0.8,21.7536,1
3.89,0.2,0.2,0.2,0.2,1.446,0.4,0.2892,0
3.41,0.6,0.4,0.2,0.2,35.736,0.4,7.1472,1
3.41,0.4,0.6,0.2,0.4,46.842,0.8,18.7368,1
3.41,0.4,0.6,0.2,0.2,40.604,0.4,8.1208,1
3.41,0.4,0.6,0.2,0.2,63.826,0.4,12.7652,1
3.41,0.6,0.2,0.2,0.2,7.974,0.4,1.5948,1
3.41,0.4,0.6,0.2,0.6,61.028,2.2,67.1308,1
3.41,0.6,0.6,0.2,0.2,66.782,0.4,13.3564,1
3.41,0.4,0.6,0.6,0.2,32.29,1.2,19.374,1
3.41,0.4,0.6,0.2,0.4,55.812,0.8,22.3248,1
3.41,0.6,0.6,0.2,0.2,32.126,0.4,6.4252,1
3.41,0.4,0.6,0.2,0.2,14.754,0.4,2.9508,1
3.41,0.6,0.6,0.2,0.6,57.286,2.4,68.7432,1
3.41,0.6,0.6,0.2,0.4,56.042,1.6,44.8336,1
3.41,0.6,0.6,0.2,0.4,27.636,0.8,11.0544,1
3.41,0.6,0.4,0.2,0.2,51.606,0.4,10.3212,1
3.41,0.6,0.6,0.2,0.2,42.128,0.4,8.4256,1
3.41,0.6,0.6,0.2,0.2,72.956,0.4,14.5912,1
3.41,0.6,0.4,0.2,0.2,9.152,0.4,1.8304,1
3.41,0.2,0.6,0.2,0.2,26.388,0.4,5.2776,1
3.41,0.4,0.2,0.2,0.2,20.474,0.4,4.0948,1
3.41,0.6,0.4,0.2,0.2,39.22,0.4,7.844,1
3.41,0.6,0.6,0.2,0.2,42.728,0.4,8.5456,1
3.41,0.4,0.6,0.2,0.2,35.462,0.4,7.0924,1
3.41,0.6,0.6,0.2,0.2,40.334,0.4,8.0668,1
3.41,0.6,0.6,0.2,0.2,84.726,0.8,33.8904,1
3.41,0.6,0.6,0.2,0.2,43.494,0.8,17.3976,1
3.41,0.6,0.6,0.2,0.2,41.936,0.4,8.3872,1
3.41,0.6,0.4,0.2,0.4,63.144,0.8,25.2576,1
3.41,0.6,0.6,0.2,0.2,45.134,0.4,9.0268,1
3.41,0.6,0.6,0.4,0.2,73.434,0.8,29.3736,1
3.41,0.6,0.6,0.2,0.6,71.666,1.6,57.3328,1
3.41,0.4,0.4,0.2,0.2,24.446,0.4,4.8892,1
3.41,0.4,0.2,0.2,0.2,30.272,0.4,6.0544,1
3.41,0.4,0.6,0.2,0.2,48.354,0.4,9.6708,1
3.41,0.4,0.6,0.2,0.2,76.258,0.4,15.2516,1
3.41,0.6,0.2,0.2,0.2,19.372,0.4,3.8744,1
3.41,0.4,0.4,0.2,0.2,24.81,0.4,4.962,1
3.41,0.6,0.6,0.4,0.2,37.878,0.8,15.1512,1
3.41,0.6,0.6,0.2,0.2,60.338,0.4,12.0676,1
3.41,0.6,0.6,0.2,0.4,55.296,0.8,22.1184,1
3.41,0.4,0.6,0.2,0.2,29.39,0.4,5.878,1
3.41,0.6,0.6,0.2,0.2,49.418,0.4,9.8836,1
3.41,0.6,0.6,0.2,0.2,45.586,0.4,9.1172,1
3.41,0.6,0.6,0.2,0.2,106.636,0.4,21.3272,1
3.41,0.6,0.6,0.2,0.2,55.964,0.4,11.1928,1
3.41,0.6,0.6,0.2,0.2,38.978,0.4,7.7956,1
3.41,0.6,0.6,0.2,0.2,82.226,0.4,16.4452,1
3.41,0.6,0.6,0.2,0.2,26.366,0.4,5.2732,1
3.41,0.6,0.2,0.2,0.2,5.884,0.4,1.1768,1
3.41,0.6,0.2,0.2,0.2,17.584,0.4,3.5168,1
3.41,0.2,0.6,0.4,0.2,84.122,0.8,33.6488,1
3.41,0.6,0.4,0.2,0.2,17.322,0.4,3.4644,1
3.41,0.6,0.4,0.2,0.4,57.708,0.8,23.0832,1
3.41,0.6,0.6,0.2,0.2,52.79,0.4,10.558,1
3.41,0.6,0.2,0.2,0.2,39.788,0.4,7.9576,1
3.41,0.6,0.6,0.2,0.4,69.042,0.8,27.6168,1
3.41,0.4,0.6,0.4,0.2,113.392,0.8,45.3568,1
